Sorted Json formula,prototype,prototype_name,prototype_formula,DOIs
"{""A"": {""Hf"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1016/j.scriptamat.2021.113855', 'https://doi.org/10.1038/srep37946', 'https://doi.org/10.1016/j.ceramint.2019.11.186', 'https://doi.org/10.1016/j.jeurceramsoc.2019.05.017', 'https://doi.org/10.1016/j.actamat.2020.07.004', 'https://doi.org/10.1016/j.ceramint.2020.02.214', 'https://doi.org/10.1016/j.jeurceramsoc.2020.03.063', 'https://doi.org/10.1016/j.jeurceramsoc.2020.08.058', 'https://doi.org/10.1016/j.jmst.2020.07.014', 'https://doi.org/10.1111/jace.16801', 'https://doi.org/10.1016/j.scriptamat.2019.05.039', 'https://doi.org/10.1016/j.jeurceramsoc.2021.05.053', 'https://doi.org/10.1016/j.jmst.2019.05.059', 'https://doi.org/10.1016/j.jeurceramsoc.2020.04.026', 'https://doi.org/10.1007/s40843-019-9469-4', 'https://doi.org/10.1016/j.scriptamat.2019.03.038', 'https://doi.org/10.1016/j.jeurceramsoc.2021.04.004', 'https://doi.org/10.1007/s40145-020-0383-8']"
"{""A"": {""Hf"": 0.2, ""Mo"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.3390/ceramics4020020', 'https://doi.org/10.1038/srep37946', 'https://doi.org/10.1016/j.scriptamat.2021.113855', 'https://doi.org/10.1016/j.ceramint.2020.10.200', 'https://doi.org/10.1016/j.ceramint.2019.11.186', 'https://doi.org/10.1063/5.0045592', 'https://doi.org/10.3390/ceramics4020010']"
"{""A"": {""Hf"": 0.2, ""Mo"": 0.2, ""Nb"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1016/j.jeurceramsoc.2019.05.017', 'https://doi.org/10.1038/srep37946', 'https://doi.org/10.1016/j.jeurceramsoc.2019.10.031', 'https://doi.org/10.1016/j.scriptamat.2019.01.021', 'https://doi.org/10.3390/ceramics4020010']"
"{""A"": {""Hf"": 0.2, ""Mo"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1016/j.jeurceramsoc.2019.05.017', 'https://doi.org/10.1038/srep37946', 'https://doi.org/10.1016/j.ceramint.2020.10.200', 'https://doi.org/10.1016/j.scriptamat.2019.01.021', 'https://doi.org/10.3390/ceramics4020010', 'https://doi.org/10.1016/j.scriptamat.2018.08.039']"
"{""A"": {""Mo"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1038/srep37946', 'https://doi.org/10.1016/j.jeurceramsoc.2020.03.063']"
"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1016/j.jeurceramsoc.2019.10.051', 'https://doi.org/10.1038/srep37946', 'https://doi.org/10.1016/j.scriptamat.2021.113855', 'https://doi.org/10.1016/j.ceramint.2019.11.186', 'https://doi.org/10.1016/j.scriptamat.2019.01.021', 'https://doi.org/10.1016/j.jeurceramsoc.2020.08.071']"
"{""A"": {""Hf"": 0.19, ""Ta"": 0.24, ""Ti"": 0.2, ""V"": 0.14, ""Zr"": 0.23}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.scriptamat.2018.02.008']
"{""A"": {""Hf"": 0.25, ""Nb"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1111/jace.16746', 'https://doi.org/10.1111/jace.17184']"
"{""A"": {""Hf"": 0.2, ""Mo"": 0.2, ""Ti"": 0.2, ""W"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1016/j.jeurceramsoc.2020.03.063', 'https://doi.org/10.1016/j.scriptamat.2021.113855', 'https://doi.org/10.1016/j.ceramint.2020.02.214', 'https://doi.org/10.1016/j.ceramint.2019.11.186']"
"{""A"": {""Cr"": 0.2, ""Mo"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""W"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.jeurceramsoc.2020.03.063']
"{""A"": {""Hf"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""W"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}","['https://doi.org/10.1016/j.jeurceramsoc.2021.04.004', 'https://doi.org/10.1016/j.jeurceramsoc.2020.03.063']"
"{""A"": {""Hf"": 0.225, ""Mo"": 0.225, ""Ta"": 0.225, ""W"": 0.1, ""Zr"": 0.225}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.jeurceramsoc.2020.03.063']
"{""A"": {""Nb"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1111/jace.17184']
"{""A"": {""Hf"": 0.25, ""Nb"": 0.25, ""Ta"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1111/jace.17184']
"{""A"": {""Cr"": 0.25, ""Nb"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1111/jace.17184']
"{""A"": {""Hf"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.jeurceramsoc.2019.10.051']
"{""A"": {""Cr"": 0.25, ""Hf"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.jeurceramsoc.2019.10.051']
"{""A"": {""Cr"": 0.25, ""Hf"": 0.25, ""Ta"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.jeurceramsoc.2019.10.051']
"{""A"": {""Cr"": 0.25, ""Hf"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.jeurceramsoc.2019.10.051']
"{""A"": {""Cr"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.jeurceramsoc.2019.10.051']
"{""A"": {""Mo"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""W"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1007/s40145-020-0373-x']
"{""A"": {""Hf"": 0.2, ""Mo"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.ceramint.2020.11.108']
"{""A"": {""Hf"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""V"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",AlB2,AlB2,"{'A': 1, 'B': 2}",['https://doi.org/10.1016/j.scriptamat.2021.113855']
